#
# Found only in counts.csv

name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-12629,YES,0,41,32,37,18,19,30
GENE-12840,YES,0,30,21,23,12,21,13
GENE-13111,YES,0,750,677,611,1054,1092,922
GENE-13333,YES,0,558,765,266,478,607,462
GENE-13664,YES,0,8,8,16,52,27,55
GENE-13886,YES,0,25,21,25,33,31,33
GENE-13966,YES,0,312,304,312,373,405,551
GENE-14091,YES,0,1697,1815,2058,1713,1528,1792
GENE-14761,YES,0,217,217,214,333,466,386
GENE-14824,YES,0,84,35,71,138,188,212
GENE-14954,YES,0,8,8,4,16,14,13
GENE-15153,YES,0,20,15,34,0,4,3
GENE-15712,YES,0,3657,4088,5447,1967,2686,1520
GENE-15858,YES,0,199,377,349,340,427,256
GENE-15936,YES,0,8562,8888,9231,13231,9866,12501
GENE-16275,YES,0,109,113,78,132,188,178
GENE-16276,YES,0,7782,3457,4890,5122,5644,8278
GENE-16357,YES,0,128,86,86,130,99,235
GENE-16488,YES,0,156,179,179,172,165,168
GENE-17195,YES,0,100,127,87,127,99,92
GENE-17240,YES,0,28,21,33,60,43,56
GENE-17584,YES,0,188,168,238,116,155,100
GENE-17847,YES,0,907,639,832,1026,998,1252
GENE-17968,YES,0,41,14,15,80,128,70
GENE-18313,YES,0,718,495,524,703,634,575
GENE-18488,YES,0,152,166,115,112,148,136
GENE-18509,YES,0,36,39,34,29,25,29
GENE-18841,YES,0,2645,4719,4889,1252,2597,2154
GENE-18849,YES,0,10,10,7,7,14,13
GENE-18888,YES,0,21,24,21,24,16,21
GENE-18915,YES,0,7,14,11,29,21,45
GENE-19229,YES,0,63,97,50,114,94,61
GENE-19236,YES,0,219,237,202,153,157,169
GENE-19238,YES,0,116,96,96,104,61,122
GENE-19518,YES,0,12,24,17,32,25,40
GENE-19570,YES,0,1363,1542,1547,1043,868,1093
GENE-19778,YES,0,735,793,631,852,854,1034
GENE-19788,YES,0,15,5,14,10,5,14
#
# Found only in edger.csv

name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-813,YES,19.7,1,18.7,16.587,4.1,6e-06,0.028,8e-04,0,1,1,1,21,24,11
GENE-10621,YES,18.7,17.3,1.3,0.083,-3.6,7.4e-06,0.035,9e-04,0,17,20,15,1,2,1
GENE-11557,NO,1017.3,223.7,793.7,3.542,1.8,7.6e-05,0.36,0.0048,0,199,290,182,833,686,862
GENE-19535,NO,392,91.7,300.3,3.276,1.7,0.00014,0.64,0.0078,1,66,93,116,298,320,283
GENE-9915,NO,390.3,283,107.3,0.38,-1.4,0.00015,0.72,0.0086,1,268,269,312,130,103,89
GENE-3032,NO,87.7,21.3,66.3,3.076,1.6,0.00036,1,0.017,2,27,18,19,66,54,79
GENE-18547,NO,287.3,191.7,95.7,0.498,-1,0.001,1,0.0426,5,183,221,171,106,101,80
