name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-6755,YES,0,210,179,206,13,23,23
GENE-6834,YES,0,27,31,21,8,7,5
GENE-6890,YES,0,7,4,6,67,56,74
GENE-6931,YES,0,3565,2088,2399,123,355,304
GENE-6981,YES,0,4,6,18,83,60,182
GENE-7104,YES,0,875,1006,1057,636,583,677
GENE-7192,YES,0,2565,1646,3711,1282,2235,1924
GENE-7224,YES,0,313,496,522,4477,3767,4151
GENE-7301,YES,0,224,236,173,163,221,204
GENE-7328,YES,0,15,33,22,50,67,68
GENE-7467,YES,0,30,29,33,5,9,2
GENE-7629,YES,0,345,294,340,118,132,111
GENE-7770,YES,0,1414,602,2584,1238,1799,3434
GENE-7789,YES,0,33,41,38,86,82,96
GENE-8033,YES,0,331,188,195,73,114,113
GENE-8154,YES,0,1726,1656,1531,158,130,121
GENE-8189,YES,0,615,653,564,233,176,217
GENE-8374,YES,0,33,104,81,100,152,133
GENE-8383,YES,0,581,330,392,326,330,246
GENE-8582,YES,0,11526,12159,11118,55389,45060,38908
GENE-8622,YES,0,165,232,235,123,126,165
GENE-8631,YES,0,50,46,44,94,98,118
GENE-8794,YES,0,29,20,17,2,5,2
GENE-8796,YES,0,227,302,517,319,752,714
GENE-8828,YES,0,204,185,263,24,23,14
GENE-8966,YES,0,57,53,51,46,51,38
GENE-9010,YES,0,12,11,12,17,17,21
GENE-9013,YES,0,252,266,238,889,912,988
GENE-9064,YES,0,180,165,191,8,13,6
GENE-9066,YES,0,308,246,377,34,42,34
GENE-9091,YES,0,141,103,211,366,246,177
GENE-9180,YES,0,130,154,124,94,80,59
GENE-9189,YES,0,485,406,486,878,669,688
GENE-9273,YES,0,157,93,178,36,93,34
GENE-9280,YES,0,1599,1410,2334,235,174,222
GENE-9312,YES,0,1209,1317,667,344,764,423
GENE-9370,YES,0,1029,1069,1008,1012,1006,1087
GENE-9432,YES,0,641,549,689,421,658,436
GENE-9452,YES,0,2,6,10,103,138,82
GENE-9545,YES,0,13,18,15,12,18,16
GENE-9561,YES,0,175,127,245,47,43,32
GENE-9635,YES,0,17,29,34,35,22,32
GENE-9937,YES,0,2260,1876,2136,499,415,504
GENE-9997,YES,0,479,477,458,2396,2129,2036
GENE-10083,YES,0,15,25,20,6,4,3
GENE-10112,YES,0,44,42,54,73,58,75
GENE-10263,YES,0,392,310,403,286,397,352
GENE-10544,YES,0,768,662,760,398,183,355
GENE-10585,YES,0,55,39,48,37,44,67
GENE-10654,YES,0,2019,1962,1826,437,501,456
GENE-10673,YES,0,1117,867,234,7171,5409,2360
GENE-10702,YES,0,9,10,7,11,15,15
GENE-10705,YES,0,196,312,246,95,140,104
GENE-10711,YES,0,24,57,28,453,510,815
GENE-10713,YES,0,30,36,25,140,131,149
GENE-10742,YES,0,35,26,25,913,3293,115
GENE-10778,YES,0,217,279,175,165,120,245
GENE-10857,YES,0,406,483,318,159,191,120
GENE-10889,YES,0,98,94,113,332,345,417
GENE-10956,YES,0,31,19,21,18,13,9
GENE-11003,YES,0,1203,512,914,174,461,316
GENE-11027,YES,0,5,17,8,88,66,60
GENE-11081,YES,0,34,35,40,94,79,72
GENE-11110,YES,0,1365,1108,1321,481,544,465
GENE-11181,YES,0,2,0,2,16,36,18
GENE-11338,YES,0,90,99,114,33,48,48
GENE-11541,YES,0,1166,951,1653,3814,3842,4721
GENE-11594,YES,0,4,1,3,57,61,73
GENE-11609,YES,0,23,33,20,56,56,71
GENE-11622,YES,0,11,9,8,101,125,91
GENE-11692,YES,0,150,162,151,294,291,277
GENE-12205,YES,0,49,0,0,5,345,78
GENE-12220,YES,0,245,337,320,1036,1102,1476
GENE-12476,YES,0,1101,1248,1167,212,253,374
GENE-12629,YES,0,41,32,37,18,19,30
GENE-12673,YES,0,3497,2845,3732,1075,1153,929
GENE-12828,YES,0,52,62,68,235,260,309
GENE-12840,YES,0,30,21,23,12,21,13
GENE-13111,YES,0,750,677,611,1054,1092,922
GENE-13209,YES,0,2989,3929,2035,416,493,588
GENE-13333,YES,0,558,765,266,478,607,462
GENE-13378,YES,0,1419,1744,1673,496,445,507
GENE-13504,YES,0,698,819,729,40,26,30
GENE-13664,YES,0,8,8,16,52,27,55
GENE-13690,YES,0,822,879,951,359,349,401
GENE-13769,YES,0,129,159,217,1464,1197,826
GENE-13886,YES,0,25,21,25,33,31,33
GENE-13966,YES,0,312,304,312,373,405,551
GENE-14089,YES,0,7,11,12,84,80,75
GENE-14091,YES,0,1697,1815,2058,1713,1528,1792
GENE-14619,YES,0,63,56,53,261,259,276
GENE-14697,YES,0,43,44,30,4,1,4
GENE-14761,YES,0,217,217,214,333,466,386
GENE-14824,YES,0,84,35,71,138,188,212
GENE-14954,YES,0,8,8,4,16,14,13
GENE-15035,YES,0,738,1543,1291,53,94,112
GENE-15153,YES,0,20,15,34,0,4,3
GENE-15270,YES,0,257,172,254,2,6,6
GENE-15680,YES,0,148,121,127,56,38,63
GENE-15712,YES,0,3657,4088,5447,1967,2686,1520
GENE-15796,YES,0,495,764,518,2160,1891,2138
GENE-15858,YES,0,199,377,349,340,427,256
GENE-15936,YES,0,8562,8888,9231,13231,9866,12501
GENE-16181,YES,0,164,354,145,41,47,34
GENE-16204,YES,0,69,54,36,18,14,9
GENE-16275,YES,0,109,113,78,132,188,178
GENE-16276,YES,0,7782,3457,4890,5122,5644,8278
GENE-16357,YES,0,128,86,86,130,99,235
GENE-16404,YES,0,73,58,58,128,158,125
GENE-16488,YES,0,156,179,179,172,165,168
GENE-16585,YES,0,416,451,374,4,1,5
GENE-16651,YES,0,27,26,31,169,315,288
GENE-16815,YES,0,21159,13393,20453,1612,1367,1454
GENE-16824,YES,0,8,11,10,206,148,114
GENE-16859,YES,0,846,637,714,82,92,67
GENE-17066,YES,0,137,121,205,744,1479,977
GENE-17195,YES,0,100,127,87,127,99,92
GENE-17240,YES,0,28,21,33,60,43,56
GENE-17548,YES,0,26,20,25,2,4,5
GENE-17584,YES,0,188,168,238,116,155,100
GENE-17641,YES,0,92,71,114,935,931,624
GENE-17847,YES,0,907,639,832,1026,998,1252
GENE-17968,YES,0,41,14,15,80,128,70
GENE-18103,YES,0,231,190,165,47,61,37
GENE-18313,YES,0,718,495,524,703,634,575
GENE-18488,YES,0,152,166,115,112,148,136
GENE-18509,YES,0,36,39,34,29,25,29
GENE-18580,YES,0,137,125,165,32,30,16
GENE-18709,YES,0,573,510,607,3561,1470,3555
GENE-18841,YES,0,2645,4719,4889,1252,2597,2154
GENE-18849,YES,0,10,10,7,7,14,13
GENE-18888,YES,0,21,24,21,24,16,21
GENE-18915,YES,0,7,14,11,29,21,45
GENE-19113,YES,0,15,19,17,196,124,155
GENE-19229,YES,0,63,97,50,114,94,61
GENE-19236,YES,0,219,237,202,153,157,169
GENE-19238,YES,0,116,96,96,104,61,122
GENE-19255,YES,0,851,711,953,208,196,145
GENE-19329,YES,0,374,283,347,13,32,8
GENE-19368,YES,0,29,26,23,0,1,3
GENE-19518,YES,0,12,24,17,32,25,40
GENE-19570,YES,0,1363,1542,1547,1043,868,1093
GENE-19600,YES,0,200,221,160,83,100,90
GENE-19778,YES,0,735,793,631,852,854,1034
GENE-19788,YES,0,15,5,14,10,5,14
GENE-19841,YES,0,5329,4721,5073,1195,830,711
GENE-19909,YES,0,2,2,9,59,95,74
GENE-1,YES,1,0,0,0,0,0,0
GENE-2,NO,1,0,0,0,0,0,0
GENE-3,NO,1,0,0,0,0,0,0
GENE-4,NO,1,0,0,0,0,0,0
GENE-5,NO,1,2839,1945,4539,1826,3216,2814
GENE-6,NO,1,0,0,0,0,0,0
GENE-7,NO,1,49,36,32,39,37,41
GENE-8,NO,1,174,221,167,188,158,123
GENE-9,NO,1,0,0,0,0,0,0
GENE-10,NO,1,0,0,0,0,0,0
GENE-11,NO,1,0,0,0,0,0,0
GENE-12,NO,1,356,617,399,496,495,903
GENE-13,YES,1,0,0,0,0,0,0
GENE-14,NO,1,6,9,10,9,6,6
GENE-15,NO,1,0,0,0,0,0,0
GENE-16,YES,1,0,0,0,0,0,0
GENE-17,NO,1,0,2,0,1,0,1
GENE-18,NO,1,8,4,2,2,5,9
GENE-19,NO,1,215,108,183,17,102,165
GENE-20,NO,1,0,0,0,0,0,0
GENE-21,NO,1,14,14,16,10,15,14
GENE-22,NO,1,257,216,223,224,220,226
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,60,40,60,50,39,57
GENE-25,NO,1,0,0,0,0,0,0
GENE-26,NO,1,0,0,0,0,0,0
GENE-27,NO,1,0,0,0,0,0,0
GENE-28,NO,1,4,5,2,4,3,4
GENE-29,NO,1,326,326,302,450,323,428
GENE-30,NO,1,0,0,0,0,0,0
GENE-31,NO,1,0,0,0,0,0,0
GENE-32,NO,1,72,63,69,80,70,65
GENE-33,NO,1,0,0,0,0,0,0
GENE-34,NO,1,0,0,0,0,0,0
GENE-35,NO,1,0,0,0,0,0,0
GENE-36,YES,1,0,0,0,0,0,0
GENE-37,NO,1,2697,2496,2787,5540,2597,3347
GENE-38,NO,1,0,0,0,0,0,0
GENE-39,NO,1,0,0,0,0,0,0
GENE-40,NO,1,0,0,0,0,0,0
GENE-41,NO,1,0,0,0,0,0,0
GENE-42,NO,1,0,0,0,0,0,0
GENE-43,NO,1,0,0,0,0,0,0
GENE-44,NO,1,3,13,8,11,11,8
GENE-45,NO,1,0,0,0,0,0,0
GENE-46,NO,1,0,0,0,0,0,0
GENE-47,NO,1,0,0,0,0,0,0
GENE-48,NO,1,0,0,0,0,0,0
GENE-49,NO,1,0,0,0,0,0,0
GENE-50,NO,1,0,0,0,0,0,0
GENE-52,NO,1,303,343,285,389,391,389
GENE-53,NO,1,1184,1262,655,1798,1103,563
GENE-54,NO,1,8,7,13,8,2,9
GENE-55,NO,1,0,0,0,0,0,0
GENE-56,NO,1,0,0,0,0,0,0
GENE-57,NO,1,0,0,0,0,0,0
GENE-58,NO,1,5,4,7,4,5,4
GENE-59,NO,1,0,0,0,0,0,0
GENE-60,NO,1,21,32,27,26,18,26
GENE-61,NO,1,1062,1531,1484,1429,1463,1371
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,NO,1,0,0,0,0,0,0
GENE-64,NO,1,7,8,9,6,10,7
GENE-65,NO,1,4691,6094,6577,5190,7089,4010
GENE-66,NO,1,0,0,0,0,0,0
GENE-67,NO,1,0,0,0,0,0,0
GENE-68,NO,1,0,0,0,0,0,0
GENE-69,NO,1,12,6,10,7,7,9
GENE-70,NO,1,0,0,0,0,0,0
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,0,1,0,0,2,1
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,0,0,0,0,0,0
GENE-75,NO,1,333,310,334,315,369,374
GENE-76,NO,1,47,32,44,54,43,55
GENE-77,NO,1,0,0,0,0,0,0
GENE-78,NO,1,0,0,0,0,0,0
GENE-79,NO,1,3,10,6,7,14,8
GENE-80,NO,1,0,0,0,0,0,0
GENE-81,NO,1,0,0,0,0,0,0
GENE-82,NO,1,1,0,0,0,0,0
GENE-83,NO,1,107,108,96,96,88,78
GENE-84,NO,1,5,6,8,6,3,9
GENE-85,NO,1,0,0,0,0,0,0
GENE-86,NO,1,469,497,455,403,399,294
GENE-87,NO,1,0,0,0,0,0,0
GENE-88,YES,1,0,0,0,0,0,0
GENE-89,NO,1,0,0,0,0,0,0
GENE-90,NO,1,4,8,3,5,4,6
GENE-91,NO,1,0,0,0,0,0,0
GENE-92,NO,1,97,133,167,110,97,135
GENE-93,NO,1,0,0,0,0,0,0
GENE-94,NO,1,0,0,0,0,0,0
GENE-95,NO,1,0,0,0,0,0,0
GENE-96,NO,1,0,0,0,0,0,0
GENE-97,NO,1,185,190,236,207,155,170
GENE-98,NO,1,32,44,33,32,38,32
GENE-99,NO,1,0,0,0,0,0,0
GENE-100,NO,1,0,0,1,0,0,0
GENE-101,NO,1,0,0,0,0,0,0
GENE-102,NO,1,0,0,0,0,0,0
GENE-103,NO,1,0,0,0,0,0,0
GENE-104,NO,1,0,0,0,0,0,0
GENE-105,NO,1,3,5,9,0,6,10
GENE-106,NO,1,0,0,0,0,0,0
GENE-107,NO,1,0,0,0,0,0,0
GENE-108,NO,1,1,0,2,1,1,4
GENE-109,NO,1,0,0,0,0,0,0
GENE-110,NO,1,0,0,0,0,0,0
GENE-111,NO,1,0,0,0,0,0,0
GENE-112,NO,1,0,0,0,0,0,0
GENE-113,NO,1,0,0,0,0,0,0
GENE-114,NO,1,1,2,0,1,3,3
GENE-115,NO,1,0,0,0,0,0,0
GENE-116,NO,1,0,0,0,0,0,0
GENE-117,NO,1,10,7,16,10,14,8
GENE-118,YES,1,0,0,0,0,0,0
GENE-119,NO,1,0,0,0,0,0,0
GENE-120,NO,1,1,3,3,4,1,8
GENE-121,NO,1,0,0,0,0,0,0
GENE-122,NO,1,0,0,0,0,0,0
GENE-123,NO,1,0,0,0,0,2,0
GENE-124,NO,1,0,0,0,0,0,0
GENE-125,NO,1,429,563,407,403,305,406
GENE-126,NO,1,132,136,122,88,140,130
GENE-127,NO,1,0,0,0,0,0,0
GENE-128,NO,1,1184,1030,1272,1070,1417,1006
GENE-129,NO,1,34,32,75,78,42,76
GENE-130,NO,1,0,0,0,0,0,0
GENE-131,NO,1,0,0,0,0,1,2
GENE-132,NO,1,0,0,0,0,0,0
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,0,0,0,0,0,0
GENE-135,YES,1,0,0,0,0,0,0
GENE-136,NO,1,0,0,0,0,0,0
GENE-137,NO,1,0,0,0,0,0,0
GENE-138,NO,1,0,0,0,0,0,0
GENE-139,YES,1,0,0,0,0,0,0
GENE-140,NO,1,0,0,0,0,0,0
GENE-141,NO,1,0,0,0,0,0,1
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,YES,1,0,0,0,0,0,0
GENE-144,NO,1,0,0,0,0,0,0
GENE-145,NO,1,213,216,263,294,236,294
GENE-146,NO,1,0,0,0,0,0,0
GENE-147,NO,1,0,0,0,0,0,0
GENE-148,NO,1,36,42,50,59,46,42
GENE-149,NO,1,0,0,0,0,0,0
GENE-150,NO,1,0,0,0,0,0,0
GENE-151,NO,1,0,0,0,0,0,0
GENE-152,NO,1,2444,3100,2847,3151,3424,2856
GENE-153,NO,1,0,0,0,0,0,0
GENE-154,NO,1,0,0,0,0,0,0
GENE-155,NO,1,0,0,0,0,0,0
GENE-156,NO,1,0,0,0,0,0,0
GENE-157,NO,1,0,0,0,0,0,0
GENE-158,NO,1,0,0,0,0,0,0
GENE-159,NO,1,0,0,0,0,0,0
GENE-160,NO,1,600,566,605,604,559,585
GENE-161,NO,1,156,131,198,191,251,271
GENE-162,NO,1,27,29,25,28,26,30
GENE-163,NO,1,0,0,0,0,0,0
GENE-164,NO,1,70,78,51,78,64,87
GENE-165,NO,1,0,0,0,0,0,0
GENE-166,NO,1,227,181,239,469,504,193
GENE-167,NO,1,0,0,0,0,0,0
GENE-168,NO,1,36,53,38,37,58,54
GENE-169,NO,1,0,0,0,0,0,0
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,0,0,0,0,0,0
GENE-172,NO,1,0,0,0,0,0,0
GENE-173,NO,1,314,306,374,410,402,260
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,3128,2958,1719,2688,3018,3559
GENE-176,NO,1,12,9,13,9,13,9
GENE-177,NO,1,0,0,0,0,0,0
GENE-178,NO,1,0,0,0,0,0,0
GENE-179,NO,1,0,0,0,0,0,0
GENE-180,NO,1,0,0,0,0,0,0
GENE-181,NO,1,0,0,0,0,0,0
GENE-182,NO,1,0,0,0,0,0,0
GENE-183,NO,1,0,0,0,0,0,0
GENE-184,NO,1,0,0,0,0,0,0
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,0,0,0,0,0,0
GENE-187,NO,1,0,0,0,0,0,0
GENE-188,NO,1,0,0,0,0,0,0
GENE-189,NO,1,0,0,0,0,0,0
GENE-190,NO,1,0,0,0,0,0,0
GENE-191,NO,1,0,0,0,0,0,0
GENE-192,NO,1,10,6,6,10,10,5
GENE-193,NO,1,2,0,1,2,3,2
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,60,43,38,24,73,26
GENE-196,NO,1,298,370,387,254,328,294
GENE-197,NO,1,10433,12659,11465,16158,14861,12913
GENE-198,NO,1,3,14,9,5,4,5
GENE-199,NO,1,0,0,0,0,0,0
GENE-200,NO,1,103,90,90,93,60,81
GENE-201,NO,1,0,0,0,0,0,0
GENE-202,NO,1,0,0,0,0,0,0
GENE-203,NO,1,0,3,1,2,2,1
GENE-204,NO,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-207,NO,1,0,0,0,0,0,0
GENE-208,NO,1,0,0,0,0,0,0
GENE-209,NO,1,556,508,618,792,764,892
GENE-210,NO,1,0,0,0,0,0,0
GENE-211,NO,1,0,0,0,0,0,0
GENE-212,NO,1,0,0,0,0,0,0
GENE-213,NO,1,0,0,0,0,0,0
GENE-214,NO,1,0,0,0,0,0,0
GENE-215,NO,1,0,0,0,0,0,0
GENE-216,NO,1,18,15,21,28,14,19
GENE-217,NO,1,0,0,0,0,0,0
GENE-218,NO,1,0,0,0,0,0,0
GENE-219,NO,1,194,238,312,311,254,263
GENE-220,NO,1,0,0,0,0,0,0
GENE-221,NO,1,0,0,0,0,0,0
GENE-222,NO,1,0,0,0,0,0,0
GENE-223,NO,1,0,0,0,0,0,0
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,221,214,253,368,253,155
GENE-226,YES,1,4,6,9,11,4,10
GENE-227,NO,1,0,1,0,0,1,0
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,NO,1,9,4,4,5,5,5
GENE-230,NO,1,74,94,58,71,71,99
GENE-231,YES,1,0,0,0,0,0,0
GENE-232,NO,1,0,0,0,0,0,0
GENE-233,NO,1,0,0,0,0,0,0
GENE-234,NO,1,0,0,0,0,0,0
GENE-235,NO,1,7,11,15,75,11,44
GENE-236,NO,1,0,0,0,0,0,0
GENE-237,NO,1,0,0,0,0,0,0
GENE-238,NO,1,0,2,0,0,1,1
GENE-239,NO,1,586,13,374,3273,126,3577
GENE-240,NO,1,0,0,0,0,0,0
GENE-241,NO,1,38,34,31,46,28,20
GENE-243,NO,1,12,12,19,21,18,23
GENE-244,NO,1,39,93,87,71,54,115
GENE-245,NO,1,125,98,101,77,96,76
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,NO,1,0,0,0,0,0,0
GENE-248,NO,1,0,0,0,0,0,0
GENE-249,NO,1,2,4,4,2,3,2
GENE-250,YES,1,0,0,0,0,0,0
GENE-251,NO,1,380,466,449,423,511,431
GENE-252,NO,1,18,20,33,14,29,32
GENE-253,NO,1,0,0,0,0,0,0
GENE-254,NO,1,0,0,0,0,0,0
GENE-255,NO,1,0,0,0,0,0,0
GENE-256,NO,1,0,0,0,0,0,0
GENE-257,NO,1,0,0,0,0,0,0
GENE-258,NO,1,0,0,0,0,0,0
GENE-259,NO,1,0,0,0,0,0,0
GENE-260,NO,1,0,0,0,0,0,0
GENE-261,NO,1,0,0,0,0,0,0
GENE-262,NO,1,0,0,0,0,0,0
GENE-263,NO,1,0,0,0,0,0,0
GENE-264,NO,1,0,0,0,0,0,0
GENE-265,NO,1,0,0,0,0,0,0
GENE-266,NO,1,0,0,0,0,0,0
GENE-267,NO,1,0,0,0,0,0,0
GENE-268,NO,1,0,0,0,0,0,0
GENE-269,NO,1,80,70,79,76,72,55
GENE-270,YES,1,0,0,0,0,0,0
GENE-271,NO,1,688,723,455,532,524,635
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,NO,1,105,189,114,97,149,129
GENE-274,NO,1,0,0,0,0,0,0
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,NO,1,0,0,0,0,0,0
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,0,0,0,0,0,0
GENE-279,NO,1,0,0,0,0,0,0
GENE-280,NO,1,50,85,47,53,65,63
GENE-281,NO,1,1717,1908,1850,1307,1495,2137
GENE-282,NO,1,0,0,0,0,0,0
GENE-283,NO,1,277,261,423,110,287,614
GENE-284,NO,1,51,305,99,472,78,138
GENE-285,NO,1,83,65,80,68,79,36
GENE-286,NO,1,1,1,6,5,1,1
GENE-287,NO,1,0,0,0,0,0,0
GENE-288,NO,1,3126,2668,3265,3670,3506,3293
GENE-289,NO,1,159,626,466,93,302,577
GENE-290,NO,1,0,0,0,0,0,0
GENE-291,YES,1,3,1,2,3,5,3
GENE-292,NO,1,0,0,0,0,0,0
GENE-293,NO,1,9,13,8,10,9,6
GENE-294,NO,1,0,0,0,0,0,0
GENE-295,NO,1,7,19,48,26,8,20
GENE-296,NO,1,0,0,0,0,0,0
GENE-297,NO,1,0,0,0,0,0,0
GENE-298,NO,1,0,0,0,0,0,0
GENE-299,NO,1,0,0,0,0,0,0
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,332,312,319,397,235,403
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,0,0,0,0,0,0
GENE-304,NO,1,159,182,191,298,216,209
GENE-305,NO,1,0,0,0,0,0,0
GENE-307,NO,1,0,0,0,0,0,0
GENE-308,NO,1,0,0,0,0,0,0
GENE-309,NO,1,60,71,62,56,41,50
GENE-310,NO,1,0,0,0,0,0,0
GENE-311,NO,1,365,431,576,480,471,565
GENE-312,NO,1,877,364,438,621,591,490
GENE-313,NO,1,0,0,0,0,0,0
GENE-314,NO,1,0,3,0,25,4,43
GENE-315,NO,1,0,0,0,0,0,0
GENE-316,NO,1,0,0,0,0,0,0
GENE-317,NO,1,1,0,1,0,0,0
GENE-318,NO,1,0,0,0,0,0,0
GENE-319,NO,1,1,2,1,2,1,1
GENE-320,NO,1,45,41,37,43,47,49
GENE-321,NO,1,0,0,0,0,0,0
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,302,285,316,322,329,279
GENE-324,NO,1,0,0,0,0,0,0
GENE-325,NO,1,2,2,0,1,2,1
GENE-326,NO,1,0,0,0,0,0,0
GENE-327,NO,1,0,0,0,0,0,0
GENE-328,NO,1,3,3,1,6,3,1
GENE-329,NO,1,1,3,3,0,1,0
GENE-330,NO,1,0,0,0,0,0,0
GENE-331,NO,1,1077,1343,671,423,288,891
GENE-332,NO,1,0,0,0,0,0,0
GENE-333,NO,1,0,0,0,0,0,0
GENE-334,NO,1,0,0,0,0,0,0
GENE-335,NO,1,0,0,0,0,0,0
GENE-336,NO,1,15,38,53,52,47,39
GENE-337,NO,1,0,0,0,0,0,0
GENE-338,YES,1,0,0,0,0,0,0
GENE-339,NO,1,0,0,0,0,0,0
GENE-340,NO,1,0,0,0,0,0,0
GENE-341,YES,1,0,0,0,0,0,0
GENE-342,NO,1,243,233,167,178,199,266
GENE-343,NO,1,466,147,326,396,538,171
GENE-344,NO,1,0,0,0,0,0,0
GENE-345,NO,1,1289,1293,1170,766,1291,1176
GENE-346,NO,1,0,0,0,0,0,0
GENE-347,NO,1,162,176,184,122,132,146
GENE-348,NO,1,0,0,0,0,0,0
GENE-349,NO,1,0,0,0,0,0,0
GENE-350,NO,1,1671,1536,1761,1425,1387,1772
GENE-351,NO,1,359,391,387,363,373,445
GENE-352,NO,1,0,0,0,0,0,0
GENE-353,NO,1,0,0,0,0,0,0
GENE-354,NO,1,0,0,0,0,0,0
GENE-355,NO,1,0,0,0,0,0,0
GENE-356,NO,1,0,0,0,0,0,0
GENE-357,NO,1,0,0,0,0,0,0
GENE-358,NO,1,0,0,1,2,0,3
GENE-359,NO,1,38,50,35,72,37,46
GENE-360,NO,1,11,4,16,11,8,10
GENE-361,NO,1,0,0,0,0,0,0
GENE-362,NO,1,0,0,0,0,0,0
GENE-363,NO,1,16,19,18,17,22,8
GENE-364,NO,1,0,0,0,0,0,0
GENE-365,NO,1,0,0,0,0,0,0
GENE-366,NO,1,11,22,20,34,16,27
GENE-367,NO,1,108,120,131,115,139,133
GENE-368,NO,1,7,6,6,6,5,6
GENE-369,NO,1,650,550,725,579,549,541
GENE-370,NO,1,33,33,38,28,26,32
GENE-371,NO,1,147,102,157,225,230,231
GENE-372,NO,1,5,6,4,10,6,4
GENE-373,NO,1,21,30,30,18,20,29
GENE-374,NO,1,0,0,0,0,0,0
GENE-375,NO,1,105,116,93,112,77,72
