name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-9013,YES,1179,253,926,3.661,1.9,2.7e-06,1.3e-02,5e-04,0,253,268,238,886,907,985
GENE-7224,YES,4562.3,445.3,4117,9.242,3.2,3.0e-06,1.4e-02,5e-04,0,314,499,523,4463,3748,4140
GENE-1259,YES,1606.7,1321,285.7,0.216,-2.2,3.6e-06,1.7e-02,6e-04,0,1170,1282,1511,281,259,317
GENE-19113,YES,174.7,17,157.7,9.186,3.2,3.7e-06,1.8e-02,6e-04,0,15,19,17,195,123,155
GENE-16824,YES,165,9.7,155.3,15.828,4,3.7e-06,1.8e-02,6e-04,0,8,11,10,205,147,114
GENE-6755,YES,218.3,198.7,19.7,0.099,-3.3,3.8e-06,1.8e-02,6e-04,0,210,180,206,13,23,23
GENE-6890,YES,71.3,5.7,65.7,11.281,3.5,4.3e-06,2.0e-02,7e-04,0,7,4,6,67,56,74
GENE-2405,YES,155,145,10,0.069,-3.8,4.4e-06,2.1e-02,7e-04,0,144,172,119,7,14,9
GENE-8828,YES,238.3,218,20.3,0.093,-3.4,4.7e-06,2.2e-02,7e-04,0,204,186,264,24,23,14
GENE-11594,YES,66.3,2.7,63.7,22.695,4.5,4.7e-06,2.2e-02,7e-04,0,4,1,3,57,61,73
GENE-9280,YES,1996.3,1787,209.3,0.117,-3.1,5.4e-06,2.5e-02,7e-04,0,1602,1420,2339,234,173,221
GENE-813,YES,19.7,1,18.7,16.587,4.1,6.0e-06,2.8e-02,8e-04,0,1,1,1,21,24,11
GENE-17641,YES,919,92.3,826.7,8.915,3.2,6.0e-06,2.9e-02,8e-04,0,92,71,114,932,926,622
GENE-14089,YES,89.7,10,79.7,7.823,3,6.2e-06,2.9e-02,8e-04,0,7,11,12,84,80,75
GENE-6056,YES,66.7,5.3,61.3,11.177,3.5,6.7e-06,3.2e-02,8e-04,0,5,6,5,69,70,45
GENE-5930,YES,261,244.3,16.7,0.068,-3.9,6.8e-06,3.2e-02,8e-04,0,171,313,249,21,12,17
GENE-10621,YES,18.7,17.3,1.3,0.083,-3.6,7.4e-06,3.5e-02,9e-04,0,17,20,15,1,2,1
GENE-8582,YES,57928,11644.3,46283.7,3.975,2,8.0e-06,3.8e-02,9e-04,0,11551,12242,11140,55214,44833,38804
GENE-13378,YES,2099,1618,481,0.297,-1.8,8.2e-06,3.9e-02,9e-04,0,1422,1756,1676,494,443,506
GENE-16651,YES,284,28,256,9.088,3.2,1.0e-05,4.7e-02,0.0011,0,27,26,31,168,313,287
GENE-12828,YES,327.7,60.7,267,4.379,2.1,1.0e-05,4.8e-02,0.0011,0,52,62,68,234,259,308
GENE-10713,YES,170,30.3,139.7,4.566,2.2,1.1e-05,5.1e-02,0.0011,0,30,36,25,140,130,149
GENE-19841,YES,5967.3,5058.7,908.7,0.18,-2.5,1.1e-05,5.3e-02,0.0011,0,5340,4753,5083,1191,826,709
GENE-10889,YES,465.3,102,363.3,3.558,1.8,1.2e-05,5.9e-02,0.0012,0,98,95,113,331,343,416
GENE-19255,YES,1023.7,841.3,182.3,0.217,-2.2,1.3e-05,6.0e-02,0.0012,0,853,716,955,207,195,145
GENE-5144,YES,816.7,53.3,763.3,14.238,3.8,1.3e-05,6.1e-02,0.0012,0,46,47,67,1134,563,593
GENE-12673,YES,4418,3369.3,1048.7,0.311,-1.7,2.1e-05,1.0e-01,0.002,0,3504,2864,3740,1072,1147,927
GENE-1604,YES,120.7,109.7,11,0.101,-3.3,2.7e-05,1.3e-01,0.0025,0,118,121,90,7,9,17
GENE-10711,YES,627,36.3,590.7,16.133,4,2.9e-05,1.4e-01,0.0026,0,24,57,28,452,507,813
GENE-15035,YES,1282.3,1196,86.3,0.072,-3.8,2.9e-05,1.4e-01,0.0026,0,740,1554,1294,53,94,112
GENE-13769,YES,1326.7,168.7,1158,6.851,2.8,3.1e-05,1.5e-01,0.0026,0,129,160,217,1459,1191,824
GENE-8189,YES,820.3,612.7,207.7,0.339,-1.6,3.2e-05,1.5e-01,0.0026,0,616,657,565,232,175,216
GENE-12220,YES,1502.3,302,1200.3,3.976,2,3.2e-05,1.5e-01,0.0026,0,246,339,321,1033,1096,1472
GENE-7629,YES,447.7,327.7,120,0.366,-1.4,3.2e-05,1.5e-01,0.0026,0,346,296,341,118,131,111
GENE-3030,YES,95,7.3,87.7,11.689,3.5,3.2e-05,1.5e-01,0.0026,0,12,5,5,69,90,104
GENE-13209,YES,3494,2996.7,497.3,0.166,-2.6,3.7e-05,1.7e-01,0.0029,0,2995,3956,2039,415,491,586
GENE-1783,YES,119.3,108,11.3,0.106,-3.2,3.8e-05,1.8e-01,0.003,0,88,85,151,11,15,8
GENE-4830,YES,64,10.3,53.7,5.108,2.4,3.9e-05,1.8e-01,0.003,0,13,8,10,57,45,59
GENE-5336,YES,36.3,3.7,32.7,8.586,3.1,3.9e-05,1.8e-01,0.003,0,5,4,2,37,34,27
GENE-13690,YES,1255.7,887.3,368.3,0.415,-1.3,4.3e-05,2.0e-01,0.0032,0,824,885,953,358,347,400
GENE-11110,YES,1764,1269.3,494.7,0.39,-1.4,4.4e-05,2.1e-01,0.0032,0,1368,1116,1324,479,541,464
GENE-19329,YES,353.7,336,17.7,0.053,-4.2,4.6e-05,2.1e-01,0.0033,0,375,285,348,13,32,8
GENE-14697,YES,42,39,3,0.079,-3.7,4.6e-05,2.2e-01,0.0033,0,43,44,30,4,1,4
GENE-9452,YES,113.3,6,107.3,17.469,4.1,4.9e-05,2.3e-01,0.0034,0,2,6,10,103,137,82
GENE-12476,YES,1455,1176.3,278.7,0.237,-2.1,4.9e-05,2.3e-01,0.0034,0,1103,1257,1169,211,252,373
GENE-15796,YES,2650,594.7,2055.3,3.456,1.8,5.9e-05,2.8e-01,0.004,0,496,769,519,2153,1881,2132
GENE-18580,YES,168.7,142.7,26,0.182,-2.5,6.2e-05,2.9e-01,0.0042,0,137,126,165,32,30,16
GENE-17066,YES,1217.3,154.7,1062.7,6.857,2.8,6.5e-05,3.1e-01,0.0043,0,137,122,205,742,1472,974
GENE-18103,YES,244,195.7,48.3,0.246,-2,6.9e-05,3.3e-01,0.0045,0,231,191,165,47,61,37
GENE-406,YES,2874.7,824.7,2050,2.485,1.3,7.0e-05,3.3e-01,0.0045,0,796,941,737,1968,1922,2260
GENE-11557,NO,1017.3,223.7,793.7,3.542,1.8,7.6e-05,3.6e-01,0.0048,0,199,290,182,833,686,862
GENE-6578,YES,1093.3,750,343.3,0.458,-1.1,8.2e-05,3.8e-01,0.0051,0,742,731,777,372,310,348
GENE-4786,YES,60.3,53.3,7,0.132,-2.9,9.2e-05,4.3e-01,0.0057,0,61,67,32,7,6,8
GENE-19909,YES,80.3,4.3,76,16.955,4.1,9.6e-05,4.5e-01,0.0059,0,2,2,9,59,95,74
GENE-17548,YES,27.3,23.7,3.7,0.158,-2.7,1.1e-04,5.2e-01,0.0067,1,26,20,25,2,4,5
GENE-5031,YES,159.7,34,125.7,3.669,1.9,1.1e-04,5.3e-01,0.0067,1,30,32,40,95,153,129
GENE-6931,YES,2952.7,2693,259.7,0.096,-3.4,1.2e-04,5.5e-01,0.0069,1,3573,2102,2404,123,353,303
GENE-19368,YES,27.3,26,1.3,0.055,-4.2,1.2e-04,5.8e-01,0.0072,1,29,26,23,0,1,3
GENE-19535,NO,392,91.7,300.3,3.276,1.7,1.4e-04,6.4e-01,0.0078,1,66,93,116,298,320,283
GENE-9561,YES,223.3,182.7,40.7,0.222,-2.2,1.5e-04,7.0e-01,0.0084,1,175,128,245,47,43,32
GENE-9915,NO,390.3,283,107.3,0.38,-1.4,1.5e-04,7.2e-01,0.0086,1,268,269,312,130,103,89
GENE-11541,YES,5371.3,1260.3,4111,3.26,1.7,1.7e-04,7.7e-01,0.0091,1,1168,957,1656,3802,3823,4708
GENE-5745,YES,4822.3,3375.7,1446.7,0.429,-1.2,1.7e-04,7.8e-01,0.0092,1,4035,3244,2848,1478,1481,1381
GENE-7789,YES,125.3,37.3,88,2.335,1.2,2.4e-04,1.0e+00,0.013,1,33,41,38,86,82,96
GENE-4738,YES,84,73.7,10.3,0.141,-2.8,2.4e-04,1.0e+00,0.013,1,62,61,98,17,6,8
GENE-8794,YES,25,22,3,0.14,-2.8,2.7e-04,1.0e+00,0.0144,1,29,20,17,2,5,2
GENE-6834,YES,33,26.3,6.7,0.255,-2,2.8e-04,1.0e+00,0.0144,1,27,31,21,8,7,5
GENE-11027,YES,81.3,10,71.3,7.003,2.8,2.8e-04,1.0e+00,0.0144,1,5,17,8,88,66,60
GENE-3944,YES,10980.7,7222.7,3758,0.52,-0.9,2.8e-04,1.0e+00,0.0144,1,6996,8166,6506,3772,3666,3836
GENE-18709,YES,3417.7,565,2852.7,5.045,2.3,2.9e-04,1.0e+00,0.0146,1,574,513,608,3550,1463,3545
GENE-4540,YES,89.3,17.3,72,4.102,2,2.9e-04,1.0e+00,0.0148,1,24,14,14,54,88,74
GENE-11181,YES,24.7,1.3,23.3,15.973,4,3.1e-04,1.0e+00,0.0153,1,2,0,2,16,36,18
GENE-11692,YES,441,154.7,286.3,1.847,0.9,3.1e-04,1.0e+00,0.0153,1,150,163,151,293,290,276
GENE-4793,YES,1836.3,586.7,1249.7,2.129,1.1,3.2e-04,1.0e+00,0.0157,2,481,595,684,1266,1218,1265
GENE-8631,YES,150,46.7,103.3,2.195,1.1,3.4e-04,1.0e+00,0.0163,2,50,46,44,94,98,118
GENE-3032,NO,87.7,21.3,66.3,3.076,1.6,3.6e-04,1.0e+00,0.017,2,27,18,19,66,54,79
GENE-16181,YES,262.3,221.7,40.7,0.183,-2.5,4.0e-04,1.0e+00,0.0187,2,164,356,145,41,47,34
GENE-4296,YES,137.3,109.3,28,0.256,-2,4.0e-04,1.0e+00,0.0188,2,116,131,81,30,18,36
GENE-830,YES,63.7,12.3,51.3,4.101,2,4.2e-04,1.0e+00,0.0195,2,18,10,9,43,64,47
GENE-11081,YES,118,36.3,81.7,2.227,1.2,4.7e-04,1.0e+00,0.0215,2,34,35,40,94,79,72
GENE-10083,YES,24.3,20,4.3,0.22,-2.2,5.2e-04,1.0e+00,0.0235,2,15,25,20,6,4,3
GENE-19600,YES,285,194.3,90.7,0.467,-1.1,5.5e-04,1.0e+00,0.0245,3,200,223,160,83,99,90
GENE-7467,YES,36,30.7,5.3,0.176,-2.5,5.5e-04,1.0e+00,0.0245,3,30,29,33,5,9,2
GENE-16404,YES,199.7,63,136.7,2.157,1.1,5.6e-04,1.0e+00,0.0248,3,73,58,58,128,157,125
GENE-15680,YES,184.7,132.3,52.3,0.394,-1.3,6.1e-04,1.0e+00,0.0268,3,148,122,127,56,38,63
GENE-11338,YES,144.3,101.3,43,0.423,-1.2,6.8e-04,1.0e+00,0.0294,3,90,100,114,33,48,48
GENE-10857,YES,560,404,156,0.387,-1.4,7.0e-04,1.0e+00,0.03,3,407,486,319,158,190,120
GENE-895,YES,112.7,74,38.7,0.52,-0.9,7.7e-04,1.0e+00,0.0328,4,80,69,73,38,37,41
GENE-6085,YES,62.3,13.7,48.7,3.514,1.8,7.9e-04,1.0e+00,0.0333,4,12,10,19,60,36,50
GENE-16204,YES,66.7,53,13.7,0.258,-2,8.4e-04,1.0e+00,0.0349,4,69,54,36,18,14,9
GENE-6981,YES,117.7,9.3,108.3,11.392,3.5,9.8e-04,1.0e+00,0.0406,5,4,6,18,83,60,182
GENE-18547,NO,287.3,191.7,95.7,0.498,-1,1.0e-03,1.0e+00,0.0426,5,183,221,171,106,101,80
GENE-14761,YES,610,216.3,393.7,1.815,0.9,1.3e-03,1.0e+00,0.0508,6,217,218,214,332,464,385
GENE-8463,NO,338.3,56.3,282,4.982,2.3,1.3e-03,1.0e+00,0.0508,6,29,67,73,172,414,260
GENE-5268,YES,5497.3,1825.3,3672,2.011,1,1.3e-03,1.0e+00,0.0508,6,1645,1525,2306,3813,3316,3887
GENE-16436,NO,159.7,41.7,118,2.805,1.5,1.4e-03,1.0e+00,0.0538,6,38,55,32,148,87,119
GENE-4095,YES,786.7,73,713.7,9.732,3.3,1.4e-03,1.0e+00,0.0562,7,80,20,119,1074,625,442
GENE-5047,YES,333.3,106.3,227,2.134,1.1,1.5e-03,1.0e+00,0.057,7,82,101,136,211,224,246
GENE-13664,YES,55.3,10.7,44.7,4.123,2,1.5e-03,1.0e+00,0.057,7,8,8,16,52,27,55
GENE-11609,YES,86.3,25.3,61,2.383,1.3,1.5e-03,1.0e+00,0.0593,7,23,33,20,56,56,71
GENE-6298,YES,153.7,51,102.7,2.002,1,1.7e-03,1.0e+00,0.064,8,59,54,40,96,113,99
GENE-15153,YES,25.3,23,2.3,0.106,-3.2,1.7e-03,1.0e+00,0.066,8,20,15,34,0,4,3
GENE-1210,NO,81,55.7,25.3,0.453,-1.1,1.8e-03,1.0e+00,0.069,9,68,51,48,21,30,25
GENE-10705,YES,364.7,252,112.7,0.446,-1.2,1.9e-03,1.0e+00,0.069,9,196,314,246,95,139,104
GENE-10742,YES,1462.3,28.7,1433.7,49.627,5.6,2.0e-03,1.0e+00,0.0727,9,35,26,25,910,3276,115
GENE-11968,NO,8184,3269.7,4914.3,1.503,0.6,2.1e-03,1.0e+00,0.075,10,3158,3195,3456,4754,4946,5043
GENE-12773,NO,703.7,10.3,693.3,66.117,6,2.1e-03,1.0e+00,0.075,10,31,0,0,1095,416,569
GENE-6305,NO,77.7,50.7,27,0.53,-0.9,2.3e-03,1.0e+00,0.0824,11,45,56,51,27,24,30
GENE-9893,NO,62.3,40.3,22,0.543,-0.9,2.7e-03,1.0e+00,0.0963,13,43,39,39,20,21,25
GENE-5637,NO,423.3,137.7,285.7,2.071,1.1,2.7e-03,1.0e+00,0.0968,13,94,155,164,296,264,297
GENE-4833,NO,1889,1141,748,0.656,-0.6,2.9e-03,1.0e+00,0.1008,14,1022,1162,1239,750,733,761
GENE-7104,YES,1612.7,983,629.7,0.641,-0.6,3.0e-03,1.0e+00,0.1039,14,877,1013,1059,634,580,675
GENE-14855,NO,34.3,10.7,23.7,2.189,1.1,3.0e-03,1.0e+00,0.104,14,10,10,12,24,19,28
GENE-7328,YES,85,23.3,61.7,2.614,1.4,3.0e-03,1.0e+00,0.104,14,15,33,22,50,67,68
GENE-4105,NO,8152.7,3023.3,5129.3,1.697,0.8,3.2e-03,1.0e+00,0.1096,15,2765,3215,3090,4831,6206,4351
GENE-14824,YES,242,63.3,178.7,2.809,1.5,3.2e-03,1.0e+00,0.1097,15,84,35,71,138,187,211
GENE-1508,YES,58.3,13.7,44.7,3.225,1.7,3.3e-03,1.0e+00,0.1114,16,19,12,10,57,26,51
GENE-15712,YES,6462.7,4413,2049.7,0.465,-1.1,3.4e-03,1.0e+00,0.114,16,3665,4116,5458,1961,2672,1516
GENE-8033,YES,338.3,238.7,99.7,0.418,-1.3,3.6e-03,1.0e+00,0.1208,17,332,189,195,73,113,113
GENE-10544,YES,1044,733,311,0.425,-1.2,3.7e-03,1.0e+00,0.1221,18,770,667,762,397,182,354
GENE-4762,NO,279.7,170,109.7,0.644,-0.6,3.7e-03,1.0e+00,0.1221,18,167,164,179,121,104,104
GENE-10673,YES,5703.3,742,4961.3,6.683,2.7,3.8e-03,1.0e+00,0.1224,18,1119,873,234,7148,5382,2354
GENE-17968,YES,115.7,23.3,92.3,3.928,2,3.8e-03,1.0e+00,0.1238,18,41,14,15,80,127,70
GENE-7680,NO,1139,743.7,395.3,0.532,-0.9,4.4e-03,1.0e+00,0.1427,21,785,551,895,333,449,404
GENE-9189,YES,1203,460.7,742.3,1.612,0.7,4.5e-03,1.0e+00,0.1453,22,486,409,487,875,666,686
GENE-16205,NO,50.3,33,17.3,0.523,-0.9,4.6e-03,1.0e+00,0.1454,22,33,37,29,14,19,19
GENE-11164,NO,2960,1875.3,1084.7,0.578,-0.8,4.8e-03,1.0e+00,0.1513,23,1498,2128,2000,939,1043,1272
GENE-18915,YES,42.3,10.7,31.7,2.925,1.5,5.1e-03,1.0e+00,0.1606,24,7,14,11,29,21,45
GENE-13299,NO,233.3,174.7,58.7,0.334,-1.6,5.2e-03,1.0e+00,0.1606,25,110,216,198,84,59,33
GENE-6202,NO,13446.3,5248.3,8198,1.562,0.6,5.5e-03,1.0e+00,0.1693,26,5511,5696,4538,7948,7274,9372
GENE-7359,NO,18,5.7,12.3,2.136,1.1,5.6e-03,1.0e+00,0.1723,27,6,6,5,11,12,14
GENE-13111,YES,1701.3,682,1019.3,1.494,0.6,5.7e-03,1.0e+00,0.1751,27,752,682,612,1051,1087,920
GENE-3929,NO,141.7,87,54.7,0.627,-0.7,6.1e-03,1.0e+00,0.1851,29,81,79,101,54,55,55
GENE-17240,YES,80.3,27.3,53,1.921,0.9,6.2e-03,1.0e+00,0.1851,29,28,21,33,60,43,56
GENE-19570,YES,2487.7,1489.7,998,0.67,-0.6,6.2e-03,1.0e+00,0.1851,29,1366,1553,1550,1040,864,1090
GENE-371,NO,363.3,135.7,227.7,1.677,0.7,6.2e-03,1.0e+00,0.1851,30,147,103,157,224,229,230
GENE-3783,NO,38,25,13,0.519,-0.9,6.3e-03,1.0e+00,0.1851,30,21,29,25,15,13,11
GENE-971,NO,220.7,146.7,74,0.502,-1,6.3e-03,1.0e+00,0.1851,30,159,167,114,98,65,59
GENE-206,YES,69,47,22,0.466,-1.1,6.4e-03,1.0e+00,0.1851,30,33,64,44,22,20,24
GENE-8246,NO,294.3,177.3,117,0.658,-0.6,6.4e-03,1.0e+00,0.1851,30,174,157,201,115,116,120
GENE-8511,NO,45,29.7,15.3,0.515,-1,6.5e-03,1.0e+00,0.1863,31,25,36,28,18,13,15
GENE-5140,YES,193,71.3,121.7,1.697,0.8,6.6e-03,1.0e+00,0.1903,32,81,60,73,125,100,140
GENE-717,NO,293.7,244.3,49.3,0.202,-2.3,6.8e-03,1.0e+00,0.1936,32,287,312,134,17,39,92
GENE-9180,YES,214,136.3,77.7,0.567,-0.8,6.8e-03,1.0e+00,0.1936,33,130,155,124,94,80,59
GENE-13917,NO,51.7,17.7,34,1.905,0.9,6.9e-03,1.0e+00,0.1953,33,15,15,23,34,31,37
GENE-11409,NO,214.7,84.3,130.3,1.543,0.6,7.1e-03,1.0e+00,0.1982,34,90,91,72,122,138,131
GENE-4634,YES,98.3,34.7,63.7,1.82,0.9,7.1e-03,1.0e+00,0.1987,34,45,30,29,65,69,57
GENE-14812,NO,104.3,65,39.3,0.602,-0.7,7.2e-03,1.0e+00,0.1992,34,78,60,57,39,42,37
GENE-2581,YES,694.3,406.7,287.7,0.708,-0.5,7.4e-03,1.0e+00,0.2044,35,422,382,416,292,269,302
GENE-7482,NO,3004.3,2107,897.3,0.426,-1.2,7.6e-03,1.0e+00,0.2071,36,3024,1435,1862,832,670,1190
GENE-209,NO,1375.3,562.3,813,1.445,0.5,8.1e-03,1.0e+00,0.219,38,557,511,619,789,760,890
GENE-6829,NO,28467,9692,18775,1.937,1,8.3e-03,1.0e+00,0.2251,40,13267,7666,8143,18084,15351,22890
GENE-5171,NO,26.3,7.7,18.7,2.395,1.3,8.6e-03,1.0e+00,0.2313,41,10,5,8,14,24,18
GENE-1556,NO,3238.3,1959,1279.3,0.653,-0.6,8.6e-03,1.0e+00,0.2313,41,1794,2090,1993,1034,1444,1360
GENE-15535,NO,16.3,5,11.3,2.219,1.2,8.8e-03,1.0e+00,0.2353,42,5,6,4,10,14,10
GENE-12134,NO,1894.7,607,1287.7,2.12,1.1,8.9e-03,1.0e+00,0.2354,42,590,621,610,1532,716,1615
GENE-10911,NO,63.7,22.3,41.3,1.833,0.9,9.2e-03,1.0e+00,0.2429,44,28,21,18,35,41,48
GENE-8026,NO,460.7,302,158.7,0.526,-0.9,9.4e-03,1.0e+00,0.2464,45,275,304,327,107,154,215
GENE-5307,YES,67.7,24,43.7,1.802,0.8,9.7e-03,1.0e+00,0.2518,46,22,28,22,54,35,42
GENE-6461,YES,553.7,222.3,331.3,1.49,0.6,9.9e-03,1.0e+00,0.2554,47,221,192,254,339,357,298
GENE-3255,NO,31,23.3,7.7,0.33,-1.6,1.0e-02,1.0e+00,0.2568,48,29,20,21,13,3,7
GENE-7939,NO,447.3,268.3,179,0.667,-0.6,1.0e-02,1.0e+00,0.2599,48,221,307,277,174,186,177
GENE-19812,NO,1053.7,405.7,648,1.598,0.7,1.0e-02,1.0e+00,0.2636,49,351,377,489,539,661,744
GENE-541,NO,35,31.3,3.7,0.12,-3.1,1.1e-02,1.0e+00,0.2636,50,11,55,28,0,8,3
GENE-12699,NO,883,511.3,371.7,0.727,-0.5,1.1e-02,1.0e+00,0.2636,50,507,542,485,365,353,397
GENE-3526,NO,579.7,351.3,228.3,0.651,-0.6,1.1e-02,1.0e+00,0.2636,50,350,287,417,214,249,222
GENE-17537,NO,139.3,86,53.3,0.619,-0.7,1.1e-02,1.0e+00,0.2636,50,76,90,92,65,49,46
GENE-11003,YES,1194.7,879,315.7,0.359,-1.5,1.1e-02,1.0e+00,0.2636,51,1206,515,916,173,459,315
GENE-4995,NO,6301,3727,2574,0.691,-0.5,1.1e-02,1.0e+00,0.2713,52,3382,3551,4248,2382,2449,2891
GENE-7840,NO,209.7,137.7,72,0.521,-0.9,1.1e-02,1.0e+00,0.2713,53,176,139,98,91,59,66
GENE-11991,NO,266.3,108.3,158,1.458,0.5,1.1e-02,1.0e+00,0.2736,53,114,116,95,165,164,145
GENE-444,NO,33,5,28,5.448,2.4,1.2e-02,1.0e+00,0.2823,55,1,9,5,18,15,51
GENE-2894,NO,237,93.3,143.7,1.536,0.6,1.3e-02,1.0e+00,0.3036,60,86,114,80,134,145,152
GENE-2246,NO,6494,2505.7,3988.3,1.592,0.7,1.3e-02,1.0e+00,0.3107,62,2523,2518,2476,3504,3249,5212
GENE-870,YES,1373,590.3,782.7,1.326,0.4,1.3e-02,1.0e+00,0.3116,62,576,607,588,807,776,765
GENE-14954,YES,21,6.7,14.3,2.113,1.1,1.3e-02,1.0e+00,0.3148,63,8,8,4,16,14,13
GENE-6207,NO,1407.7,559.3,848.3,1.517,0.6,1.3e-02,1.0e+00,0.316,64,450,688,540,884,825,836
GENE-3389,NO,81.7,26.7,55,2.043,1,1.4e-02,1.0e+00,0.3246,66,22,20,38,46,71,48
GENE-16275,YES,266,100.3,165.7,1.647,0.7,1.4e-02,1.0e+00,0.3246,66,109,114,78,132,187,178
GENE-8746,NO,69,18,51,2.801,1.5,1.4e-02,1.0e+00,0.3246,66,31,16,7,57,47,49
GENE-15827,NO,22.3,15.3,7,0.458,-1.1,1.4e-02,1.0e+00,0.3246,67,13,18,15,4,9,8
GENE-12480,NO,1495,909.7,585.3,0.644,-0.6,1.4e-02,1.0e+00,0.3246,67,842,868,1019,505,512,739
GENE-4250,NO,961,608.3,352.7,0.58,-0.8,1.4e-02,1.0e+00,0.3246,67,761,502,562,344,444,270
GENE-19236,YES,379.3,220,159.3,0.723,-0.5,1.4e-02,1.0e+00,0.3246,68,219,239,202,153,156,169
GENE-13600,NO,56.7,22,34.7,1.561,0.6,1.5e-02,1.0e+00,0.3381,71,21,20,25,33,33,38
GENE-51,YES,602.3,415.7,186.7,0.449,-1.2,1.5e-02,1.0e+00,0.3384,71,600,206,441,191,189,180
GENE-4853,NO,82,29.3,52.7,1.779,0.8,1.5e-02,1.0e+00,0.3471,73,39,28,21,59,48,51
GENE-1546,NO,5057,2104,2953,1.403,0.5,1.5e-02,1.0e+00,0.3471,74,2327,1793,2192,2943,2733,3183
GENE-847,NO,765,323.3,441.7,1.366,0.4,1.6e-02,1.0e+00,0.3558,76,359,316,295,468,422,435
GENE-17656,NO,2379.7,888,1491.7,1.68,0.7,1.6e-02,1.0e+00,0.3558,76,901,760,1003,1026,1709,1740
GENE-2367,NO,736.7,308.3,428.3,1.389,0.5,1.6e-02,1.0e+00,0.3558,76,328,303,294,398,396,491
GENE-12451,NO,1149.7,702.7,447,0.636,-0.7,1.6e-02,1.0e+00,0.3558,77,544,912,652,453,445,443
GENE-4605,NO,988.7,583.7,405,0.694,-0.5,1.6e-02,1.0e+00,0.358,78,512,587,652,345,451,419
GENE-9273,YES,197.3,143,54.3,0.379,-1.4,1.7e-02,1.0e+00,0.3625,79,157,94,178,36,93,34
GENE-7823,NO,725.7,292.7,433,1.481,0.6,1.7e-02,1.0e+00,0.3625,79,318,250,310,517,396,386
GENE-7682,NO,669.7,76.7,593,7.721,2.9,1.7e-02,1.0e+00,0.3625,80,9,150,71,261,1122,396
